Country,Version,Language,Date,PDF
Ghana,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ghana%20First/GH_INDC_2392015.pdf
Ghana,First (Updated submission),English,04/11/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ghana%20First/Ghana%27s%20Updated%20Nationally%20Determined%20Contribution%20to%20the%20UNFCCC_2021.pdf
Ghana,First (Archived_Interim updated submission_Transmittal letter),English,15/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ghana%20First/Ghana_Transmittal%20Letter_Interim%20Updated%20NDC.pdf
Greneda,Second,English,01/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Grenada%20Second/GrenadaSecondNDC2020%20-%2001-12-20.pdf
Grenada,First (Archived),English,22/04/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Grenada%20First/Grenada%20INDC.pdf
Guatemala,First,Spanish,25/01/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guatemala%20First/Gobierno%20de%20Guatemala%20INDC-UNFCCC%20Sept%202015.pdf
Guinea,First (Archived),French,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea%20First/INDC_Guinee_version%20finale.pdf
Guinea,First (Updated submission),French,28/07/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea%20First/CDN%20GUINEE%202021_REVISION_VF.pdf
Guinea,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea%20First/INDC_Guinea_english_version%20UNFCCC.pdf
Guinea-Bissau,First (Archived),English,22/10/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea-Bissau%20First/GUINEA-BISSAU_INDC_Version%20to%20the%20UNFCCC%20(eng).pdf
Guinea,First (Updated submission),English,12/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea-Bissau%20First/NDC-Guinea%20Bissau-12102021.Final.pdf
Guyana,First,English,20/05/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guyana%20First/Guyana%27s%20revised%20NDC%20-%20Final.pdf
Haiti,First,French,31/07/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Haiti%20First/CPDN_Republique%20d%27Haiti.pdf
Honduras,First (Archived),Spanish,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Honduras%20First/Honduras%20INDC_esp.pdf
Honduras,First (Updated submission),Spanish,19/05/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Honduras%20First/NDC%20de%20Honduras_%20Primera%20Actualización.pdf
Iceland,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Iceland%20First/INDC-ICELAND.pdf
